logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
0	16	0	128	7	135	#00000000	#00000000	true	0
1	16	8	128	15	135	#00000000	#00000000	true	0
2	16	16	128	23	135	#00000000	#00000000	true	0
3	16	24	128	31	135	#00000000	#00000000	true	0
4	16	32	128	39	135	#00000000	#00000000	true	0
5	16	40	128	47	135	#00000000	#00000000	true	0
6	16	48	128	55	135	#2A3340FF	#2A3340FF	true	0
7	16	56	128	63	135	#F4F2E8FF	#F4F2E8FF	true	0
8	16	64	128	71	135	#F4F2E8FF	#F4F2E8FF	true	0
9	16	72	128	79	135	#F4F2E8FF	#F4F2E8FF	true	0
10	16	80	128	87	135	#F4F2E8FF	#F4F2E8FF	true	0
11	16	88	128	95	135	#F4F2E8FF	#F4F2E8FF	true	0
12	16	96	128	103	135	#F4F2E8FF	#F4F2E8FF	true	0
13	16	104	128	111	135	#F4F2E8FF	#F4F2E8FF	true	0
14	16	112	128	119	135	#F4F2E8FF	#F4F2E8FF	true	0
15	16	120	128	127	135	#F4F2E8FF	#F4F2E8FF	true	0
16	16	128	128	135	135	#F4F2E8FF	#F4F2E8FF	true	0
17	16	136	128	143	135	#F4F2E8FF	#F4F2E8FF	true	0
18	16	144	128	151	135	#CDD2D8FF	#CDD2D8FF	true	0
19	16	152	128	159	135	#00000000	#00000000	true	0
20	16	160	128	167	135	#00000000	#00000000	true	0
21	16	168	128	175	135	#00000000	#00000000	true	0
22	16	176	128	183	135	#00000000	#00000000	true	0
23	16	184	128	191	135	#00000000	#00000000	true	0
0	17	0	136	7	143	#00000000	#00000000	true	0
1	17	8	136	15	143	#00000000	#00000000	true	0
2	17	16	136	23	143	#00000000	#00000000	true	0
3	17	24	136	31	143	#00000000	#00000000	true	0
4	17	32	136	39	143	#00000000	#00000000	true	0
5	17	40	136	47	143	#2A3340FF	#2A3340FF	true	0
6	17	48	136	55	143	#F4F2E8FF	#F4F2E8FF	true	0
7	17	56	136	63	143	#F4F2E8FF	#F4F2E8FF	true	0
8	17	64	136	71	143	#F4F2E8FF	#F4F2E8FF	true	0
9	17	72	136	79	143	#F4F2E8FF	#F4F2E8FF	true	0
10	17	80	136	87	143	#F4F2E8FF	#F4F2E8FF	true	0
11	17	88	136	95	143	#F4F2E8FF	#F4F2E8FF	true	0
12	17	96	136	103	143	#F4F2E8FF	#F4F2E8FF	true	0
